price_vnd,area_clean,price_per_m2_clean,district,property_type,cluster_kmeans,cluster_tier,dbscan_label,price_per_m2_safe,price_tier_enc,district_enc,log_area,property_type_enc,legal_status_enc,seller_type_enc,bedroom_per_area,bedrooms,frontage
27100000000.0,227.2,119278169.01,Cần Giờ,Giỏ hàng biệt thự - liền kề biển đáng mua nhất T5 - 2026 Vinhomes Green Paradise -0938 703 ***,3,Luxury,0,118755477.65118317,2,45,5.430222437427975,7073,21,1006,0.0,0.0,0.0
8500000000.0,54.0,157407407.41,Thạnh Mỹ Tây,Chính chủ bán căn hộ 1 phòng ngủ full nội thất view pháo hoa,3,Luxury,0,154545454.54545453,2,126,4.007333185232471,4805,21,1262,0.01818181818181818,1.0,0.0
6200000000.0,66.0,93939393.94,Tân Thuận,Bán căn hộ Eco Green Saigon Nguyễn Văn Linh full nội thất cao cấp,1,Cao cấp,0,92537313.43283582,2,147,4.204692619390966,1602,54,1553,0.029850746268656716,2.0,0.0
2750000000.0,59.0,46610169.49,Long Bình,Bao phí giỏ hàng 2PN mới nhất chỉ từ 46tr/m2 tại Vinhomes Grand Park-View đẹp hiếm trên thị trường,2,Bình dân,0,45833333.333333336,3,69,4.0943445622221,277,54,1552,0.03333333333333333,2.0,0.0
5000000000.0,110.0,45454545.45,Đông Thạnh,"Đi nước ngoài chính chủ bán nhanh lô đất 110m2 sổ riêng, mặt tiền 5m đường nhựa cạnh trường học",2,Bình dân,0,45045045.04504505,3,344,4.709530201312334,9646,62,949,0.009009009009009009,1.0,5.0
8500000000.0,72.0,118055555.56,Bình Trưng,"Mở bán The Prive tầng 15 căn 2PN hướng Đông 8.6tỷ có thuế VAT và PBT, chuẩn 9 tỷ, vay bank 9.5 tỷ",3,Luxury,0,116438356.16438356,2,31,4.290459441148391,7954,21,1276,0.0273972602739726,2.0,0.0
6000000000.0,77.0,77922077.92,Phú Thuận,"Căn hộ vị nhân sinh Vlasta Premier chỉ 20% nhận nhà, miễn phí quản lý 3 năm, mua trực tiếp từ CĐT",1,Cao cấp,0,76923076.92307693,1,88,4.356708826689592,5947,21,1063,0.02564102564102564,2.0,0.0
3110000000.0,47.59,65349863.42,Bình Hòa,"The Emerald Boulevard 1PN + - Thanh khoản cao, dễ cho thuê, dành cho nhà đầu tư thông minh",1,Cao cấp,0,64004939.28791932,1,20,3.883417748417812,9093,21,319,0.020580366330520683,1.0,0.0
2800000000.0,45.0,62222222.22,Bình Hòa,"The Emerald Boulevard 5 phút đến khu đô thị Vạn Phúc, thanh toán từ 9tr/tháng, tặng full nội thất",1,Cao cấp,0,60869565.217391305,1,20,3.828641396489095,9095,54,1733,0.021739130434782608,1.0,0.0
2760000000.0,60.0,46000000.0,Long Trường,Mua trực tiếp CĐT - Chiết khấu 15%. Officetel 60m2 - 2.7 tỷ - 1PN + 3.5tỷ - 2PN 3.9tỷ - 3PN 5.3tỷ,2,Bình dân,0,45245901.63934426,3,74,4.110873864173311,7869,54,386,0.01639344262295082,1.0,0.0
3600000000.0,59.0,61016949.15,Bình Hòa,Chiết khấu hơn 13% - giỏ hàng view đẹp - chỉ từ 1.9 tỷ - giá F0 từ CĐT,1,Cao cấp,0,60000000.0,1,20,4.0943445622221,4593,54,664,0.03333333333333333,2.0,0.0
3690000000.0,67.0,55074626.87,Phú Thuận,"Q7 Riverside gồm 2PN2WC/ 67m2/ 3.69 tỷ có HĐMB, hỗ trợ vay 70%, giá tốt0932 139 ***",2,Bình dân,0,54264705.88235294,1,88,4.219507705176107,8553,12,792,0.029411764705882353,2.0,0.0
9300000000.0,75.0,124000000.0,Bình Trưng,Em Hiệp chuyên bán căn hộ Eaton Park. Giỏ độc quyền cắt lỗ - sang nhượng - hàng chủ đầu tư,3,Luxury,0,122368421.05263157,2,31,4.330733340286331,6725,17,1597,0.02631578947368421,2.0,0.0
6600000000.0,36.3,181818181.82,Hòa Hưng,Nhà 5 tầng giá 6.6 tỷ trung tâm Quận 10,3,Luxury,0,176943699.7319035,2,61,3.6189933266497696,8164,54,35,0.10723860589812333,4.0,5.3
5000000000.0,60.0,83333333.33,Xuân Thới Sơn,"Bán biệt thự cao cấp đô thị Vinhomes Saigon Park, ưu đãi gốc lãi 5 năm, không lo lãi suất biến động",1,Cao cấp,0,81967213.1147541,1,165,4.110873864173311,1081,62,954,0.08196721311475409,5.0,5.0
5200000000.0,65.0,80000000.0,Tân Mỹ,"Mở bán dự án The Peak Garden - Nguyễn Lương Bằng Quận 7. Khu compound cao cấp, liền kề Phú Mỹ Hưng",1,Cao cấp,0,78787878.78787878,1,139,4.189654742026425,7961,17,1354,0.030303030303030304,2.0,0.0
6500000000.0,67.0,97014925.37,Bình Tân,"Bán NR 120/8C Số 10, Bình Hưng Hòa B, Q.Bình Tân, 6,5 tỷ, 67m2, giá cực chất",1,Cao cấp,0,95588235.29411764,2,33,4.219507705176107,990,54,82,0.058823529411764705,4.0,0.0
8300000000.0,71.0,116901408.45,An Khánh,Masteri Thảo Điền - cập nhật giỏ hàng bán mới nhất và giá tốt nhất thị trường. Hương:0937 886 ***,3,Luxury,0,115277777.77777778,2,4,4.276666119016055,7839,54,205,0.027777777777777776,2.0,0.0
1790000000.0,50.0,35800000.0,Tân Đông Hiệp,"Căn Hộ TOD Cạnh Metro Số 1 Chỉ Từ 1,79 Tỷ Vào Nhà Với 179tr - Trả góp 6 triệu/tháng, TT 10% ký HĐMB",2,Bình dân,0,35098039.21568628,3,153,3.9318256327243257,5592,17,1514,0.0392156862745098,2.0,0.0
11500000000.0,64.0,179687500.0,An Khánh,Bán căn hộ CC The River Thủ Thiêm (1PN-11.5tỷ) (2PN-17tỷ) (3PN-28tỷ) (4PN-60tỷ) (Pent-100tỷ),3,Luxury,0,176923076.92307693,2,4,4.174387269895637,1515,54,1707,0.015384615384615385,1.0,0.0
25500000000.0,135.0,188888888.89,An Khánh,Tấn Trường: Cập nhật giỏ hàng mới nhất The River - T5/2026 - đa dạng sản phẩm,3,Luxury,0,187500000.0,2,4,4.912654885736052,9265,54,958,0.022058823529411766,3.0,0.0
3700000000.0,68.0,54411764.71,Phú Thuận,"Q7 Riverside 2PN cần giá bán 3,7 tỷ. Có hợp đồng mua bán.0704 589 ***",2,Bình dân,0,53623188.4057971,1,88,4.23410650459726,8552,12,611,0.028985507246376812,2.0,0.0
7200000000.0,80.0,90000000.0,Xuân Thới Sơn,"Vinhomes Hóc Môn cho vay miễn lãi 5 năm - mua nhà bằng vàng, giữ vàng bằng nhà + lãi 10%",1,Cao cấp,0,88888888.8888889,2,165,4.394449154672439,9353,21,1121,0.0,0.0,0.0
4280000000.0,104.0,41153846.15,Dĩ An,"Căn hộ 3PN - 2WC sẵn sổ hồng, hỗ trợ lãi suất cố định 5%/năm trong 48 tháng",2,Bình dân,0,40761904.76190476,3,50,4.653960350157523,5671,62,148,0.02857142857142857,3.0,0.0
23900000000.0,144.0,165972222.22,Long Bình,"Chính chủ gửi bán lỗ nhà phố Vinhomes Grand Park trục dưỡng sinh, 23,9 tỷ, 144 m2, sổ hồng",3,Luxury,0,164827586.20689654,2,69,4.976733742420574,5058,54,461,0.0,0.0,0.0
15000000000.0,90.0,166666666.67,Bình Lợi Trung,"Bán nhà phố Bình Lợi - Bình Thạnh, 5 x 18m, hẻm xe hơi 12m, sổ hồng 90m2, 5PN, thu nhập 25tr/tháng",3,Luxury,0,164835164.83516484,2,24,4.51085950651685,4014,33,172,0.054945054945054944,5.0,5.0
6000000000.0,101.0,59405940.59,Bình Dương,CHỈ 600 TRIỆU 2 NĂM ĐẦU SỞ HỮU CĂN HỘ CAPITALAND NGAY TẠI TRUNG TÂM THÀNH PHỐ MỚI BÌNH DƯƠNG,1,Cao cấp,0,58823529.4117647,1,19,4.624972813284271,4542,21,333,0.0196078431372549,2.0,0.0
3190000000.0,66.0,48333333.33,Bình Hòa,"Bán căn hộ La Pura mặt tiền Quốc Lộ 13, căn 2PN giá 3.19 tỷ, thanh toán 11% nhận nhà, tặng vàng SJC",2,Bình dân,0,47611940.29850746,3,20,4.204692619390966,1733,19,1508,0.029850746268656716,2.0,0.0
18800000000.0,220.0,85454545.45,Cần Giờ,"Quỹ căn đẹp nhất độc quyền giá CĐT, chỉ từ: 8 tỷ, CK 23%: NP, BT, shophouse biển. LH:0933 600 ***",1,Cao cấp,0,85067873.30316742,2,45,5.3981627015177525,8597,21,895,0.0,0.0,0.0
14000000000.0,132.0,106060606.06,Trung Mỹ Tây,"Bán nhà mặt tiền đường Dương Thị Mười, Quận 12. Có ngay hợp đồng thuê 22tr/tháng",1,Cao cấp,0,105263157.89473684,2,131,4.890349128221754,3982,54,653,0.015037593984962405,2.0,5.0
6000000000.0,80.0,75000000.0,Nhà Bè,CẦN BÁN CĂN GÓC 2PN DIỆN TÍCH 80M2. VIEW ĐÔNG BẮC VÀ ĐÔNG NAM ĐẸP NHẤT DỰ ÁN,1,Cao cấp,0,74074074.07407407,1,81,4.394449154672439,5989,17,857,0.024691358024691357,2.0,0.0
11800000000.0,60.0,196666666.67,Bảy Hiền,"CHÍNH CHỦ BÁN NHÀ ĐẸP MTKD ĐA NGÀNH  SỐ 7 HỒNG LẠC, GẦN LẠC LONG QUÂN  CHỈ 11.8 TỶ",3,Luxury,0,193442622.95081967,2,36,4.110873864173311,4515,21,1617,0.0,0.0,0.0
2440000000.0,52.0,46923076.92,Tam Thắng,"Cơ hội sở hữu căn hộ biển ngay trung tâm du lịch Bãi Sau Vũng Tàu, vị trí gần tháp Tam Thắng",2,Bình dân,0,46037735.8490566,3,121,3.970291913552122,5974,17,1620,0.018867924528301886,1.0,0.0
1000000000.0,60.0,16666666.67,Xuân Thới Sơn,Vinhomes Hóc Môn booking giỏ hàng đẹp giá tốt chiết khấu cao. LH:0902 445 ***chọn căn ưng ý,2,Bình dân,0,16393442.62295082,0,165,4.110873864173311,9352,21,102,0.0,0.0,0.0
